baseline_date;value;;;;;;;;;;;;;;;;;;;;;;;
14/06/2010;-4.01569795004739000000;;;;;;;;;;;;;;;;;;;;;;;
29/11/2010;-2.14122236168059000000;;;;;;;;;;;;;;;;;;;;;;;
23/03/2011;-2.67827085243580000000;;;;;;;;;;;;;;;;;;;;;;;
29/11/2011;-3.27682416355376000000;;;;;;;;;;;;;;;;;;;;;;;
21/03/2012;-2.98346180632876000000;;;;;;;;;;;;;;;;;;;;;;;
05/12/2012;-2.87296770962842000000;;;;;;;;;;;;;;;;;;;;;;;
06/03/2013;-3.54596076635958000000;;;;;;;;;;;;;;;;;;;;;;;
05/12/2013;-1.05433860307454000000;;;;;;;;;;;;;;;;;;;;;;;
19/03/2014;-0.73648319835693000000;;;;;;;;;;;;;;;;;;;;;;;
03/12/2014;0.49365193119282600000;;;;;;;;;;;;;;;;;;;;;;;
25/03/2015;0.78236674031683100000;;;;;;;;;;;;;;;;;;;;;;;
08/07/2015;1.07715413970404000000;;;;;;;;;;;;;;;;;;;;;;;
25/11/2015;1.20532933173343000000;;;;;;;;;;;;;;;;;;;;;;;
16/03/2016;0.55919904327251500000;;;;;;;;;;;;;;;;;;;;;;;
23/11/2016;0.85360701864909600000;;;;;;;;;;;;;;;;;;;;;;;
02/03/2017;0.98331752087317900000;;;;;;;;;;;;;;;;;;;;;;;
22/11/2017;0.94086839765503500000;;;;;;;;;;;;;;;;;;;;;;;
13/03/2018;1.13517516075525000000;;;;;;;;;;;;;;;;;;;;;;;
29/10/2018;1.14763863979486000000;;;;;;;;;;;;;;;;;;;;;;;
11/03/2019;1.38897009992922000000;;;;;;;;;;;;;;;;;;;;;;;
11/03/2020;0.47319831126908300000;;;;;;;;;;;;;;;;;;;;;;;
25/11/2020;-1.19361172316191000000;;;;;;;;;;;;;;;;;;;;;;;
03/03/2021;-0.61827946983755600000;;;;;;;;;;;;;;;;;;;;;;;
27/10/2021;0.94242645370614700000;;;;;;;;;;;;;;;;;;;;;;;
23/03/2022;1.15840697688702000000;;;;;;;;;;;;;;;;;;;;;;;
17/11/2022;-0.32133332215040400000;;;;;;;;;;;;;;;;;;;;;;;
15/03/2023;-0.29081971606701400000;;;;;;;;;;;;;;;;;;;;;;;
22/11/2023;-0.22810007926383600000;;;;;;;;;;;;;;;;;;;;;;;
06/03/2024;-0.31982558716869700000;;;;;;;;;;;;;;;;;;;;;;;
30/10/2024;0.34490022959216700000;;;;;;;;;;;;;;;;;;;;;;;
26/03/2025;0.18642271359373100000;;;;;;;;;;;;;;;;;;;;;;;
26/11/2025;0.11542779849556000000;;;;;;;;;;;;;;;;;;;;;;;
